Company,Symbol,Marketprice,previousClosePrice,changeInPrice,pe_ratio,eps_ratio,Volume,MarketCap
Arca Continental S.A.B. de C.V.,AC.MX,158.24,159.65,-1.41,27.33,5.79,1124891,280.021B
Essex Property Trust Inc.,ESS,211.92,212.07,-0.15,32.71,6.48,398207,13.793B
Brookfield Infrastructure Partners L.P.,BIP,30.99,31.29,-0.3,75.4,0.41,640014,9.493B
Moncler S.p.A.,MONC.MI,49.5,50.14,-0.64,41.95,1.18,307135,13.344B
Huaneng Power International Inc.,600011.SS,7.61,7.46,0.15,30.81,0.25,81143930,119.463B
PTC Inc.,PTC,120.04,121.12,-1.08,63.82,1.88,783499,14.149B
Shimano Inc.,7309.T,20920.0,21235.0,-315.0,26.78,781.07,140200,1.932T
The Swatch Group AG,UHR.SW,263.0,266.6,-3.6,0,-0.99,59415,13.332B
PT. Chandra Asri Petrochemical Tbk,TPIA.JK,2570.0,2580.0,-10.0,856666.69,0.0,10979600,55.584T
Almarai Company,2280.SR,53.5,53.3,0.2,26.88,1.99,90158,53.179B
Splunk Inc.,SPLK,86.09,86.54,-0.45,0,-5.68,1050204,13.67B
CTBC Financial Holding Co. Ltd.,2891.TW,22.1,21.9,0.2,10.29,2.15,14500894,430.884B
HubSpot Inc.,HUBS,289.13,291.89,-2.76,0,-1.9,327932,13.661B
Enel Américas S.A.,ENELAM.SN,113.5,113.5,0.0,10318.18,0.01,7471948,12.177T
Dassault Aviation Société anonyme,AM.PA,158.2,160.1,-1.9,4.35,36.4,28377,13.159B
China Merchants Shekou Industrial Zone Holdings Co. Ltd.,001979.SZ,12.63,12.7,-0.07,7.89,1.6,53990613,100.071B
Adani Power Limited,ADANIPOWER.NS,299.55,304.5,-4.95,0,-0.74,1389354,1.155T
Gen Digital Inc.,GEN,21.43,21.25,0.18,0,0,1682126,N/A
Sodexo S.A.,SW.PA,89.48,90.5,-1.02,0,-4.53,130607,13.095B
Novozymes A/S,NZYM.VI,47.37,47.31,0.06,34.25,1.38,0,13.134B
Rocket Companies Inc.,RKT,7.0,6.98,0.02,2.31,3.03,2739981,13.911B
Teleperformance SE,TEP.PA,222.7,224.7,-2.0,40.34,5.52,103326,13.08B
Grupo Elektra S.A.B. de C.V.,XEKT.MC,53.0,53.5,-0.5,294.44,0.18,215,13.016B
Shinkin Central Bank,8421.T,276300.0,274400.0,1900.0,59.97,4607.63,41,1.853T
Alliant Energy Corporation,LNT,55.21,56.03,-0.82,22.35,2.47,983474,13.822B
Vedanta Limited,VEDL.NS,308.4,307.1,1.3,0,-19.85,6310719,1.146T
Loews Corporation,L,58.33,58.67,-0.34,0,-3.32,682766,14.797B
China Railway Construction Corporation Limited,601186.SS,7.73,7.64,0.09,4.89,1.58,43531376,97.498B
Booz Allen Hamilton Holding Corporation,BAH,104.52,104.19,0.33,26.66,3.92,431402,13.995B
Formula One Group,FWONK,59.78,59.13,0.65,0,-2.57,724883,13.71B
Eurofins Scientific SE,ERF.PA,67.06,68.64,-1.58,16.29,4.12,293484,12.878B
Inpex Corporation,1605.T,1396.0,1416.0,-20.0,0,-76.5,6258600,1.949T
Mega Financial Holding Co. Ltd.,2886.TW,30.35,30.25,0.1,16.49,1.84,10614031,412.754B
Nomura Research Institute Ltd.,4307.T,3115.0,3140.0,-25.0,27.43,113.55,1081700,1.832T
H World Group Limited,HTHT,42.42,42.97,-0.55,0,-1.16,650091,13.729B
Guangzhou Automobile Group Co. Ltd.,601238.SS,11.03,10.96,0.07,13.32,0.83,37535764,94.274B
Grasim Industries Limited,GRASIM.NS,1723.5,1752.75,-29.25,27.45,62.78,295564,1.135T
BANDAI NAMCO Holdings Inc.,7832.T,8314.0,8314.0,0.0,32.97,252.17,653900,1.826T
Expedia Group Inc.,EXPE,87.6,87.13,0.47,0,-19.0,2076582,13.274B
Jerónimo Martins SGPS S.A.,JEM.F,20.24,20.14,0.1,38.85,0.52,69,12.757B
MongoDB Inc.,MDB,196.84,198.85,-2.01,0,-4.53,1033499,13.14B
Aristocrat Leisure Limited,ALL.AX,30.52,30.78,-0.26,14.13,2.16,1012582,20.437B
Teradyne Inc.,TER,87.35,87.49,-0.14,19.86,4.4,677417,14.238B
SVB Financial Group,SIVB,230.14,234.63,-4.49,7.57,30.38,698339,13.506B
Nordson Corporation,NDSN,237.72,239.78,-2.06,50.57,4.7,106117,13.83B
publ.),VOLCAR-B.ST,47.38,48.62,-1.24,9.35,5.07,1702051,141.17B
QBE Insurance Group Limited,QBE.AX,13.43,13.37,0.06,0,-1.41,1927620,19.83B
FLEETCOR Technologies Inc.,FLT,183.68,185.76,-2.08,22.62,8.12,224797,14.915B
Siemens Energy AG,ENR.F,17.63,17.66,-0.03,0,-1.95,4790,12.648B
Edenred SA,EDEN.PA,50.88,51.28,-0.4,52.45,0.97,381340,12.654B
Viatris Inc.,VTRS,11.13,11.13,0.0,0,-1.72,6448988,13.461B
BT Group plc,BT-A.L,112.05,115.2,-3.15,6.44,17.4,10125561,11.115B
Healthpeak Properties Inc.,PEAK,25.07,25.2,-0.13,21.9,1.14,2546347,13.515B
MTN Group Limited,MTN.JO,12730.0,12794.0,-64.0,1360.04,9.36,2062945,22.901T
ASE Technology Holding Co. Ltd.,ASX,6.27,6.36,-0.09,11.88,0.53,3011288,13.392B
Tyler Technologies Inc.,TYL,322.41,325.47,-3.06,73.14,4.41,154276,13.211B
Gaming and Leisure Properties Inc.,GLPI,52.09,52.03,0.06,21.79,2.39,677109,12.877B
Formosa Chemicals & Fibre Corporation,1326.TW,70.5,69.8,0.7,21.1,3.34,1032545,412.356B
Siemens Gamesa Renewable Energy S.A.,GCTAF,19.46,19.46,0.0,0,-1.3,12,13.234B
