Company,Symbol,Marketprice,previousClosePrice,changeInPrice,pe_ratio,eps_ratio,Volume,MarketCap
Greenpanel Industries Limited,GREENPANEL.NS,337.35,335.1,2.25,206.46,1.63,157426,41.368B
Harsco Corporation,HSC,6.29,6.34,-0.05,0,-0.33,248971,498.191M
Clear Channel Outdoor Holdings Inc.,CCO,1.05,1.06,-0.01,0,-1.254,1373187,494.239M
Tejon Ranch Co.,TRC,18.84,19.0,-0.16,0,-0.03,26638,496.615M
CSB Bank Limited,CSBBANK.NS,237.8,236.4,1.4,35.59,6.68,367970,41.345B
Novonix Limited,NVX,4.1,3.99,0.11,0,0,35145,N/A
PennantPark Floating Rate Capital Ltd.,PFLT,10.98,11.05,-0.07,12.31,0.89,182040,427.555M
MidWestOne Financial Group Inc.,MOFG,31.75,32.01,-0.26,16.92,1.88,11777,498.215M
Greenlam Industries Limited,GREENLAM.NS,322.2,320.15,2.05,12.05,26.74,160635,7.805B
American Software Inc.,AMSWA,14.68,14.74,-0.06,85.85,0.17,67976,491.748M
Zymeworks Inc.,ZYME,7.86,7.81,0.05,0,-3.58,361500,365.914M
PlayWay S.A.,6P5.F,68.2,69.8,-1.6,0,0,50,476.659M
VAALCO Energy Inc.,EGY,4.56,4.47,0.09,0,-0.837,1273536,270.702M
Garrett Motion Inc.,GTX,7.62,7.87,-0.25,0,-1.02,551526,495.779M
Butterfly Network Inc.,BFLY,2.46,2.41,0.05,0,-0.127,1809840,485.252M
Rovio Entertainment Oyj,ROVIO.HE,6.07,6.11,-0.04,14.71,0.41,53163,451.892M
SNDL Inc.,SNDL,2.09,2.05,0.04,0,-0.129,2997422,4.305B
Senseonics Holdings Inc.,SENS,1.03,1.04,-0.01,0,-0.769,3442481,459.362M
EHang Holdings Limited,EH,8.58,8.42,0.16,0,-0.73,1583897,475.581M
Domo Inc.,DOMO,14.24,14.35,-0.11,0,-2.89,256911,464.369M
Newegg Commerce Inc.,NEGG,1.31,1.3,0.01,6.49,0.202,236597,482.949M
Mishra Dhatu Nigam Limited,MIDHANI.NS,217.0,214.85,2.15,30.82,7.04,612686,40.653B
Standard Lithium Ltd.,SLI,2.95,2.98,-0.03,0,-0.192,847893,474.699M
Tata Coffee Limited,TATACOFFEE.NS,217.6,219.45,-1.85,30.39,7.16,316328,40.641B
Olectra Greentech Limited,OLECTRA.NS,494.95,493.7,1.25,261.19,1.89,91323,40.696B
Akouos Inc.,AKUS,13.29,13.29,0.0,0,-2.16,1790496,458.424M
RADA Electronic Industries Ltd.,RADA,9.87,9.87,0.0,75.92,0.13,411864,487.234M
2U Inc.,TWOU,6.27,6.2,0.07,0,-2.9,438397,472.583M
Synlait Milk Limited,SML.NZ,3.53,3.51,0.02,12.05,0.293,9245,771.594M
Bridgewater Bancshares Inc.,BWB,17.74,17.53,0.21,16.91,1.05,56106,497.905M
MorphoSys AG,MOR,3.58,3.6,-0.02,4.0,0.8955,18110,488.899M
Bafang Yunji International Company Limited,2753.TW,227.0,212.0,15.0,24.67,9.2,3082350,14.992B
Greene County Bancorp Inc.,GCBC,57.42,57.47,-0.05,23.25,2.47,44576,488.84M
SIMILARWEB LTD.,SMWB,6.43,5.5,0.93,0,-1.37,207038,479.25M
Artivion Inc.,AORT,12.12,12.06,0.06,0,0,177252,N/A
Amarin Corporation plc,AMRN,1.21,1.2,0.01,605.0,0.002,4421239,478.949M
CIRCOR International Inc.,CIR,23.96,24.74,-0.78,0,-9.28,67031,485.382M
trivago N.V.,TRVG,1.35,1.4,-0.05,0,-0.129,328143,483.64M
Trustpilot Group plc,TRST.L,96.5,96.15,0.35,0,-188.6,183737,399.266M
Lightwave Logic Inc.,LWLG,4.31,4.34,-0.03,0,-0.073,1112442,469.062M
Tsakos Energy Navigation Limited,TNP,16.93,16.83,0.1,0,-0.8,184442,389.336M
Whitestone REIT,WSR,9.64,9.56,0.08,68.86,0.14,236654,473.45M
Orion Office REIT Inc.,ONL,8.54,8.47,0.07,0.06,148.37,314135,483.583M
Haverty Furniture Companies Inc.,HVT,29.9,30.18,-0.28,7.32,4.09,78179,532.492M
National Presto Industries Inc.,NPK,68.46,68.61,-0.15,10.26,6.67,33692,481.955M
Nine Energy Service Inc.,NINE,14.53,13.41,1.12,0,-12.74,1768185,477.004M
Bar Harbor Bankshares,BHB,32.04,32.05,-0.01,13.86,2.31,18293,480.177M
8x8 Inc.,EGHT,4.32,4.4,-0.08,0,-1.634,865189,493.724M
Safari Industries (India) Limited,SAFARI.NS,1682.7,1657.05,25.65,0,-10.03,23784,37.758B
SmartRent Inc.,SMRT,2.43,2.33,0.1,0,-2.515,972421,471.09M
Surmodics Inc.,SRDX,34.12,33.68,0.44,65.36,0.52,30543,476.837M
VK Company Limited,RL9A.F,2.0,2.0,0.0,0,-0.714,3315,465.26M
Kezar Life Sciences Inc.,KZR,7.04,7.03,0.01,0,-0.95,291402,374.514M
Value Line Inc.,VALU,50.88,49.96,0.92,25.72,1.98,1644,485.273M
Bluegreen Vacations Holding Corporation,BVH,24.96,24.7,0.26,9.31,2.68,50949,523.037M
HEG Limited,HEG.NS,1030.35,1030.65,-0.3,0,-97.87,148716,39.767B
Reliance Infrastructure Limited,RELINFRA.NS,137.7,135.8,1.9,0,-24.32,948673,37.347B
AlloVir Inc.,ALVR,5.13,5.12,0.01,0,-2.23,407781,334.172M
Donegal Group Inc.,DGICA,14.2,14.48,-0.28,7.1,2.0,25858,444.876M
Schneider Electric Infrastructure Limited,SCHNEIDER.NS,165.0,159.9,5.1,0,-0.65,462850,39.489B
Oil States International Inc.,OIS,7.46,7.34,0.12,0,-1.32,281359,457.863M
The South Indian Bank Limited,SOUTHBANK.NS,18.8,18.05,0.75,0,-0.48,71270018,39.344B
Mullen Automotive Inc.,MULN,0.286,0.2638,0.02,0,-8.555,208149187,6.688M
EverQuote Inc.,EVER,14.74,14.2,0.54,0,-0.48,343616,436.064M
Microvast Holdings Inc.,MVST,1.53,1.5,0.03,0,-5.477,1249971,459.799M
Broadmark Realty Capital Inc.,BRMK,3.56,3.63,-0.07,5.65,0.63,1680040,472.384M
Ranpak Holdings Corp.,PACK,5.77,5.72,0.05,0,-0.32,321485,469.676M
Centrus Energy Corp.,LEU,32.48,32.93,-0.45,56.98,0.57,315907,455.282M
ElringKlinger AG,ZIL2.DE,6.95,6.86,0.09,0,-0.64,24229,440.669M
Five Star Bancorp Common Stock,FSBC,27.24,27.32,-0.08,7.63,3.57,11882,469.176M
SI-BONE Inc.,SIBN,13.6,12.8,0.8,0,-1.42,162108,455.461M
Vertex Energy Inc.,VTNR,6.2,6.26,-0.06,0,-0.68,2399590,392.386M
The RMR Group Inc.,RMR,28.25,28.48,-0.23,16.34,1.73,46031,465.701M
Ribbon Communications Inc.,RBBN,2.79,2.76,0.03,5.57,0.501,447046,414.664M

One Liberty Properties Inc.,OLP,22.22,22.39,-0.17,16.71,1.33,34683,464.647M
Scholar Rock Holding Corporation,SRRK,9.05,8.07,0.98,0,-2.81,444723,317.728M
Amryt Pharma plc,AMYT,7.3,7.25,0.05,0,-2.24,63310,466.929M
Phathom Pharmaceuticals Inc.,PHAT,11.22,11.27,-0.05,0,-4.48,116293,355.04M
Kura Sushi USA Inc.,KRUS,47.68,47.28,0.4,0,-1.21,179268,463.013M
Alerus Financial Corporation,ALRS,23.35,23.14,0.21,7.58,3.08,65224,401.809M
Covenant Logistics Group Inc.,CVLG,34.57,35.7,-1.13,33.89,1.02,215814,577.924M
Arqit Quantum Inc.,ARQQ,3.61,3.6,0.01,0,-3.977,522239,433.464M
Tremor International Ltd,TRMR,6.45,6.55,-0.1,6.88,0.94,74723,499.638M
Sutro Biopharma Inc.,STRO,8.08,7.84,0.24,0,-0.99,543801,373.864M
Oppenheimer Holdings Inc.,OPY,42.33,42.71,-0.38,3.63,11.67,68272,534.01M
Seneca Foods Corporation,SENEA,60.95,61.84,-0.89,4.24,14.38,42732,526.357M
Nazara Technologies Limited,NAZARA.NS,580.7,572.05,8.65,3226.11,0.18,131153,19.019B
Sohu.com Limited,SOHU,13.71,13.55,0.16,0,-2.19,122854,538.889M
Redfin Corporation,RDFN,4.24,4.26,-0.02,0,-0.233,2528397,447.239M
MasterCraft Boat Holdings Inc.,MCFT,25.87,25.95,-0.08,0,-0.93,147338,490.125M
Qingci Games Inc.,6633.HK,5.19,4.9,0.29,0,0,16500,3.555B
America's Car-Mart Inc.,CRMT,72.26,72.85,-0.59,7.16,10.09,56413,470.337M
nLIGHT Inc.,LASR,10.14,9.92,0.22,0,-0.55,140000,445.355M
ALX Oncology Holdings Inc.,ALXO,11.27,11.46,-0.19,0,-1.86,151908,456.429M
Esperion Therapeutics Inc.,ESPR,6.23,5.86,0.37,0,-5.22,2292221,388.223M
Frontier Developments plc,FDEV.L,961.0,980.0,-19.0,21.45,44.8,9043,378.556M
EZCORP Inc.,EZPW,8.15,8.23,-0.08,0,-1.18,580018,456.861M
ACM Research Inc.,ACMR,7.71,7.58,0.13,8.66,0.89,431916,150.405M
National Fertilizers Limited,NFL.NS,77.25,75.5,1.75,0,-0.04,22000830,37.897B
Hudson Technologies Inc.,HDSN,10.12,9.87,0.25,0,-0.12,246026,444.973M
Teekay Corporation,TK,4.54,4.43,0.11,0,-0.821,336570,468.365M
Poseida Therapeutics Inc.,PSTX,5.3,5.23,0.07,0,-2.62,753364,331.283M
Restaurant Brands New Zealand Limited,RBD.NZ,5.75,5.8,-0.05,23.19,0.25,18527,717.364M
Barbeque-Nation Hospitality Limited,BARBEQUE.NS,966.05,968.4,-2.35,0,-11.57,27678,37.543B
Archer Aviation Inc.,ACHR,1.87,1.82,0.05,0,-4.96,1185937,443.809M
IBEX Limited,IBEX,24.85,25.07,-0.22,0,-0.07,56817,459.019M
The Marcus Corporation,MCS,14.39,14.25,0.14,0,-4.02,623527,452.128M
Agora Inc.,API,3.91,4.09,-0.18,0,-0.532,478691,453.056M
Indoco Remedies Limited,INDOCO.NS,406.65,389.85,16.8,51.15,7.95,506112,37.516B
Calliditas Therapeutics AB (publ),CALT,17.0,18.31,-1.31,0,0,9790,453.594M
Invitae Corporation,NVTA,1.86,1.82,0.04,0,-4.474,5041640,421.05M
Inogen Inc.,INGN,19.71,19.6,0.11,0,-0.23,70148,447.892M
GuangZhou Wahlap Technology Corporation Limited,301011.SZ,27.91,26.89,1.02,27.47,1.02,1728803,2.423B
Clover Health Investments Corp.,CLOV,0.9295,0.9273,0.0,0,-1.861,5236012,439.436M
Gevo Inc.,GEVO,1.9,1.86,0.04,0,-0.706,4917826,383.54M
Arcturus Therapeutics Holdings Inc.,ARCT,16.96,17.35,-0.39,0,-3.55,362608,447.074M
OneWater Marine Inc.,ONEW,28.6,28.94,-0.34,4.11,6.96,51743,385.045M
Lilium N.V.,LILM,1.14,1.16,-0.02,0,-4026.53,1124071,323.885M
Albireo Pharma Inc.,ALBO,21.61,21.66,-0.05,0,-6.73,109898,416.611M
Solid Power Inc.,SLDP,2.54,2.34,0.2,0,-46.383,2465854,425.597M
JTEKT India Limited,JTEKTINDIA.NS,150.95,144.3,6.65,0,-0.19,610614,36.904B
IGG Inc,0799.HK,2.9,2.78,0.12,0,0,4561000,3.461B
The Children's Place Inc.,PLCE,36.42,36.04,0.38,0,-9.59,276380,523.06M
TETRA Technologies Inc.,TTI,3.46,3.48,-0.02,0,-0.406,674225,439.212M
Vigil Neuroscience Inc.,VIGL,12.5,12.37,0.13,0,0,24056,N/A
DouYu International Holdings Limited,DOYU,1.4,1.37,0.03,0,-0.255,1229015,454.174M
Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien,BVB.F,3.7,3.722,-0.02,0,-0.836,14110,408.395M
Avadel Pharmaceuticals plc,AVDL,7.16,6.9,0.26,55.08,0.13,304065,419.72M
Patriot Battery Metals Inc.,PMET.V,6.6,6.71,-0.11,0,0,169400,N/A
Eagle Point Credit Company Inc.,ECC,10.12,10.23,-0.11,5.38,1.88,397762,349.035M
IFB Industries Limited,IFBIND.NS,901.7,887.15,14.55,101.43,8.89,17786,36.536B
Atai Life Sciences N.V.,ATAI,2.66,2.57,0.09,0,-3.939,968775,426.393M
Anant Raj Limited,ANANTRAJ.NS,112.1,105.25,6.85,264.39,0.42,13542348,33.08B
Purple Innovation Inc.,PRPL,4.79,4.75,0.04,59.88,0.08,450956,320.586M
Harrow Health Inc.,HROW,14.76,14.78,-0.02,0,-0.13,331688,397.085M
Dutch Lady Milk Industries Bhd,3026.KL,30.24,30.24,0.0,12.26,0,1800,1.935B
Mesoblast Limited,MESO,2.91,2.86,0.05,0,-0.87,173710,382.546M
Action Construction Equipment Limited,ACE.NS,303.85,298.35,5.5,63.63,4.78,356250,36.183B
Vor Biopharma Inc.,VOR,6.65,6.74,-0.09,0,-2.89,144061,247.975M
Mahindra Logistics Limited,MAHLOG.NS,501.8,498.9,2.9,120.62,4.16,130849,36.061B
Bionano Genomics Inc.,BNGO,1.46,1.47,-0.01,0,-0.394,4490100,N/A
Mitek Systems Inc.,MITK,9.69,9.85,-0.16,44.65,0.22,210371,432.393M
Anika Therapeutics Inc.,ANIK,29.6,29.28,0.32,0,-1.69,57762,427.329M
Desktop Metal Inc.,DM,1.36,1.35,0.01,0,-0.573,4219098,422.979M
Energy Vault Holdings Inc.,NRGV,3.12,2.75,0.37,0,0,1233101,N/A
Meta Materials Inc.,MMAT,1.19,1.08,0.11,0,-0.518,3284396,334.699M
Pearl Abyss Corp.,263750.KQ,41950.0,43000.0,-1050.0,0,0,989322,546.197B
Biglari Holdings Inc.,BH,138.8,138.17,0.63,0,-110.05,1471,428.165M
Gladstone Investment Corporation,GAIN,12.91,12.94,-0.03,0,-0.47,108346,428.677M
Ring Energy Inc.,REI,2.46,2.41,0.05,0,-3.48,1335724,245.115M
Hyster-Yale Materials Handling Inc.,HY,25.31,25.35,-0.04,11.45,2.21,40290,425.889M
Ituran Location and Control Ltd.,ITRN,21.13,21.21,-0.08,27.26,0.77,20562,437.125M
Enterprise Bancorp Inc.,EBTC,35.3,35.55,-0.25,11.17,3.16,11482,424.56M
Civeo Corporation,CVEO,31.1,31.03,0.07,1413.64,0.02,24987,443.181M
Big Lots Inc.,BIG,14.7,14.67,0.03,0.91,16.11,878269,448.942M
Veru Inc.,VERU,5.28,5.29,-0.01,229.57,0.02,1892793,422.557M
Orpea SA,ORP.PA,6.17,6.08,0.09,2.16,2.86,637759,398.594M
TPI Composites Inc.,TPIC,10.14,9.61,0.53,0,-0.54,607833,375.897M
Nektar Therapeutics,NKTR,2.26,2.2,0.06,0,-2.49,1512528,417.099M
Alta Equipment Group Inc.,ALTG,13.19,12.76,0.43,0,-0.81,49204,426.873M
Entrada Therapeutics Inc.,TRDA,13.52,14.12,-0.6,0,-31.57,171849,421.998M
Canoo Inc.,GOEV,1.23,1.22,0.01,0,-1.053,9208786,293.703M
Zumiez Inc.,ZUMZ,21.74,21.84,-0.1,7.25,3.0,240481,498.259M
The Tinplate Company of India Limited,TINPLATE.NS,334.95,331.45,3.5,35.71,9.38,277399,35.071B
Southern Missouri Bancorp Inc.,SMBC,45.83,46.17,-0.34,10.31,4.44,46146,407.341M
Evolus Inc.,EOLS,7.51,7.51,0.0,0,-4.83,788778,417.383M
AxoGen Inc.,AXGN,9.98,10.22,-0.24,0,-0.6,80677,414.795M
Destination XL Group Inc.,DXLG,6.75,6.58,0.17,0,-1.26,698003,426.965M
Jindal Poly Films Limited,JINDALPOLY.NS,796.45,804.35,-7.9,4.98,159.79,23165,35.183B
Taseko Mines Limited,TGB,1.47,1.51,-0.04,0,-0.076,782894,417.415M
Hyliion Holdings Corp.,HYLN,2.34,2.33,0.01,0,-0.493,1118176,405.552M
West Coast Paper Mills Limited,WSTCSTPAPR.NS,523.6,506.5,17.1,82.52,6.34,224720,34.583B
Nuvation Bio Inc.,NUVB,1.92,1.89,0.03,0,-0.448,454106,420.073M
DoubleDown Interactive Co. Ltd.,DDI,8.45,8.2,0.25,4.97,1.7,70263,418.726M
Paisalo Digital Limited,PAISALO.NS,77.15,76.2,0.95,5.7,13.54,1117363,3.263B
Vanda Pharmaceuticals Inc.,VNDA,7.39,7.3,0.09,17.6,0.42,525857,411.713M
Sorrento Therapeutics Inc.,SRNE,0.886,0.86,0.03,0,-1.3,9431967,271.414M
OPTiM Corporation,3694.T,1013.0,1036.0,-23.0,71.45,14.18,126700,55.765B
Powell Industries Inc.,POWL,35.18,35.2,-0.02,30.59,1.15,84551,412.457M
Apollo Endosurgery Inc.,APEN,9.97,9.95,0.02,0,-0.99,459809,393.74M
Astec LifeSciences Limited,ASTEC.NS,1751.0,1723.95,27.05,52.73,33.21,9759,34.304B
Magnachip Semiconductor Corporation,MX,9.39,9.14,0.25,1.25,7.54,439314,436.305M
TH International Limited,THCH,2.78,2.6,0.18,0,0,188740,N/A
ON24 Inc.,ONTF,8.63,8.44,0.19,0,-0.38,286689,410.512M
American Realty Investors Inc.,ARL,25.65,26.46,-0.81,45.8,0.56,5135,414.299M
Guaranty Bancshares Inc.,GNTY,34.64,34.85,-0.21,13.3,2.6,6061,418.784M
Consolidated Communications Holdings Inc.,CNSL,3.58,3.81,-0.23,0,-0.581,812571,407.655M
ShotSpotter Inc.,SSTI,33.83,32.59,1.24,338.3,0.1,47567,394.996M
World Acceptance Corporation,WRLD,65.94,65.99,-0.05,6.8,9.69,41780,441.759M
Bel Fuse Inc.,BELFB,32.92,32.44,0.48,20.54,1.6,57845,416.586M
AS Tallink Grupp,T5N.F,0.51,0.513,-0.0,0,-0.168,109,355.711M
Orthofix Medical Inc.,OFIX,20.53,19.83,0.7,0,-1.5,439280,405.371M
Liquidia Corporation,LQDA,6.37,6.48,-0.11,0,-1.76,492427,331.1M
Preformed Line Products Company,PLPC,83.29,83.84,-0.55,12.44,6.7,3853,408.116M
Bright Health Group Inc.,BHG,0.6499,0.5861,0.06,0,-1.99,2273606,408.502M
